text,label
"Hey, are we still meeting for lunch?",0
Make money fast with this trading.,1
"Hey, are we still meeting for lunch?",0
Can you review the migration for me?,0
URGENT: Bank security alert. Click bit.ly/fake,1
Can you review the migration for me?,0
Thanks for the update on the Data Science.,0
Don't forget the lunch tonight.,0
"Hey, are we still meeting for lunch?",0
"Invest in Bitcoin and earn $10,000 weekly.",1
Make money fast with this trading.,1
Don't forget the lunch tonight.,0
The SQL lecture is moved to 5 PM.,0
Don't forget the lunch tonight.,0
Don't forget the lunch tonight.,0
URGENT: Bank security alert. Click bit.ly/fake,1
Can you review the migration for me?,0
Thanks for the update on the Data Science.,0
Can you review the migration for me?,0
Please find the PDF attached.,0
Get 90% off pills. Limited time!,1
URGENT: Bank security alert. Click bit.ly/fake,1
The SQL lecture is moved to 5 PM.,0
WINNER! Claim your iPhone 15 now at bit.ly/fake,1
Thanks for the update on the Data Science.,0
WINNER! Claim your iPhone 15 now at bit.ly/fake,1
Make money fast with this trading.,1
Please find the PDF attached.,0
Thanks for the update on the Data Science.,0
Please find the PDF attached.,0
Don't forget the lunch tonight.,0
Make money fast with this trading.,1
Thanks for the update on the Data Science.,0
Don't forget the lunch tonight.,0
Please find the PDF attached.,0
Thanks for the update on the Data Science.,0
Get 90% off pills. Limited time!,1
Make money fast with this trading.,1
"Hey, are we still meeting for lunch?",0
Please find the PDF attached.,0
"Invest in Bitcoin and earn $10,000 weekly.",1
Don't forget the lunch tonight.,0
Can you review the migration for me?,0
Can you review the migration for me?,0
URGENT: Bank security alert. Click bit.ly/fake,1
Get 90% off pills. Limited time!,1
"Invest in Bitcoin and earn $10,000 weekly.",1
Adult video for free. No credit card needed.,1
Adult video for free. No credit card needed.,1
Can you review the migration for me?,0
URGENT: Bank security alert. Click bit.ly/fake,1
"Hey, are we still meeting for lunch?",0
The SQL lecture is moved to 5 PM.,0
The SQL lecture is moved to 5 PM.,0
Get 90% off pills. Limited time!,1
Please find the PDF attached.,0
"Invest in Bitcoin and earn $10,000 weekly.",1
Don't forget the lunch tonight.,0
"Hey, are we still meeting for lunch?",0
URGENT: Bank security alert. Click bit.ly/fake,1
"Hey, are we still meeting for lunch?",0
Thanks for the update on the Data Science.,0
WINNER! Claim your iPhone 15 now at bit.ly/fake,1
Can you review the migration for me?,0
"Invest in Bitcoin and earn $10,000 weekly.",1
The SQL lecture is moved to 5 PM.,0
WINNER! Claim your iPhone 15 now at bit.ly/fake,1
Thanks for the update on the Data Science.,0
Please find the PDF attached.,0
Thanks for the update on the Data Science.,0
Make money fast with this trading.,1
The SQL lecture is moved to 5 PM.,0
Can you review the migration for me?,0
Adult video for free. No credit card needed.,1
WINNER! Claim your iPhone 15 now at bit.ly/fake,1
WINNER! Claim your iPhone 15 now at bit.ly/fake,1
The SQL lecture is moved to 5 PM.,0
URGENT: Bank security alert. Click bit.ly/fake,1
The SQL lecture is moved to 5 PM.,0
Get 90% off pills. Limited time!,1
Get 90% off pills. Limited time!,1
"Hey, are we still meeting for lunch?",0
Thanks for the update on the Data Science.,0
The SQL lecture is moved to 5 PM.,0
URGENT: Bank security alert. Click bit.ly/fake,1
Don't forget the lunch tonight.,0
Thanks for the update on the Data Science.,0
Make money fast with this trading.,1
Get 90% off pills. Limited time!,1
Don't forget the lunch tonight.,0
Can you review the migration for me?,0
"Invest in Bitcoin and earn $10,000 weekly.",1
"Hey, are we still meeting for lunch?",0
The SQL lecture is moved to 5 PM.,0
WINNER! Claim your iPhone 15 now at bit.ly/fake,1
The SQL lecture is moved to 5 PM.,0
Can you review the migration for me?,0
Can you review the migration for me?,0
"Hey, are we still meeting for lunch?",0
"Invest in Bitcoin and earn $10,000 weekly.",1
The SQL lecture is moved to 5 PM.,0
"Invest in Bitcoin and earn $10,000 weekly.",1
"Hey, are we still meeting for lunch?",0
WINNER! Claim your iPhone 15 now at bit.ly/fake,1
The SQL lecture is moved to 5 PM.,0
URGENT: Bank security alert. Click bit.ly/fake,1
Please find the PDF attached.,0
Please find the PDF attached.,0
Don't forget the lunch tonight.,0
"Invest in Bitcoin and earn $10,000 weekly.",1
The SQL lecture is moved to 5 PM.,0
"Invest in Bitcoin and earn $10,000 weekly.",1
Don't forget the lunch tonight.,0
URGENT: Bank security alert. Click bit.ly/fake,1
"Hey, are we still meeting for lunch?",0
Get 90% off pills. Limited time!,1
Can you review the migration for me?,0
Get 90% off pills. Limited time!,1
Get 90% off pills. Limited time!,1
Don't forget the lunch tonight.,0
Please find the PDF attached.,0
Can you review the migration for me?,0
"Hey, are we still meeting for lunch?",0
"Hey, are we still meeting for lunch?",0
"Hey, are we still meeting for lunch?",0
Don't forget the lunch tonight.,0
Please find the PDF attached.,0
Can you review the migration for me?,0
Can you review the migration for me?,0
Thanks for the update on the Data Science.,0
"Hey, are we still meeting for lunch?",0
URGENT: Bank security alert. Click bit.ly/fake,1
"Invest in Bitcoin and earn $10,000 weekly.",1
Can you review the migration for me?,0
The SQL lecture is moved to 5 PM.,0
Don't forget the lunch tonight.,0
"Hey, are we still meeting for lunch?",0
"Hey, are we still meeting for lunch?",0
Adult video for free. No credit card needed.,1
The SQL lecture is moved to 5 PM.,0
The SQL lecture is moved to 5 PM.,0
The SQL lecture is moved to 5 PM.,0
"Hey, are we still meeting for lunch?",0
URGENT: Bank security alert. Click bit.ly/fake,1
Thanks for the update on the Data Science.,0
Make money fast with this trading.,1
WINNER! Claim your iPhone 15 now at bit.ly/fake,1
Don't forget the lunch tonight.,0
Can you review the migration for me?,0
"Hey, are we still meeting for lunch?",0
The SQL lecture is moved to 5 PM.,0
Don't forget the lunch tonight.,0
Don't forget the lunch tonight.,0
Don't forget the lunch tonight.,0
"Hey, are we still meeting for lunch?",0
Adult video for free. No credit card needed.,1
Get 90% off pills. Limited time!,1
Thanks for the update on the Data Science.,0
Can you review the migration for me?,0
Please find the PDF attached.,0
Can you review the migration for me?,0
The SQL lecture is moved to 5 PM.,0
The SQL lecture is moved to 5 PM.,0
"Hey, are we still meeting for lunch?",0
Please find the PDF attached.,0
Adult video for free. No credit card needed.,1
Can you review the migration for me?,0
Don't forget the lunch tonight.,0
"Hey, are we still meeting for lunch?",0
URGENT: Bank security alert. Click bit.ly/fake,1
Please find the PDF attached.,0
Adult video for free. No credit card needed.,1
Please find the PDF attached.,0
Adult video for free. No credit card needed.,1
"Invest in Bitcoin and earn $10,000 weekly.",1
Please find the PDF attached.,0
"Hey, are we still meeting for lunch?",0
Please find the PDF attached.,0
"Hey, are we still meeting for lunch?",0
WINNER! Claim your iPhone 15 now at bit.ly/fake,1
Don't forget the lunch tonight.,0
WINNER! Claim your iPhone 15 now at bit.ly/fake,1
WINNER! Claim your iPhone 15 now at bit.ly/fake,1
Please find the PDF attached.,0
Can you review the migration for me?,0
Don't forget the lunch tonight.,0
Get 90% off pills. Limited time!,1
"Hey, are we still meeting for lunch?",0
Thanks for the update on the Data Science.,0
Get 90% off pills. Limited time!,1
The SQL lecture is moved to 5 PM.,0
Thanks for the update on the Data Science.,0
"Invest in Bitcoin and earn $10,000 weekly.",1
Please find the PDF attached.,0
Thanks for the update on the Data Science.,0
URGENT: Bank security alert. Click bit.ly/fake,1
"Hey, are we still meeting for lunch?",0
Get 90% off pills. Limited time!,1
The SQL lecture is moved to 5 PM.,0
Can you review the migration for me?,0
The SQL lecture is moved to 5 PM.,0
Adult video for free. No credit card needed.,1
The SQL lecture is moved to 5 PM.,0
Adult video for free. No credit card needed.,1
WINNER! Claim your iPhone 15 now at bit.ly/fake,1
Adult video for free. No credit card needed.,1
URGENT: Bank security alert. Click bit.ly/fake,1
"Hey, are we still meeting for lunch?",0
Please find the PDF attached.,0
Make money fast with this trading.,1
Adult video for free. No credit card needed.,1
Thanks for the update on the Data Science.,0
Please find the PDF attached.,0
Make money fast with this trading.,1
Can you review the migration for me?,0
The SQL lecture is moved to 5 PM.,0
Get 90% off pills. Limited time!,1
"Invest in Bitcoin and earn $10,000 weekly.",1
WINNER! Claim your iPhone 15 now at bit.ly/fake,1
Please find the PDF attached.,0
The SQL lecture is moved to 5 PM.,0
"Invest in Bitcoin and earn $10,000 weekly.",1
Please find the PDF attached.,0
Please find the PDF attached.,0
Make money fast with this trading.,1
Make money fast with this trading.,1
Adult video for free. No credit card needed.,1
"Invest in Bitcoin and earn $10,000 weekly.",1
Don't forget the lunch tonight.,0
"Hey, are we still meeting for lunch?",0
Get 90% off pills. Limited time!,1
The SQL lecture is moved to 5 PM.,0
Please find the PDF attached.,0
Thanks for the update on the Data Science.,0
URGENT: Bank security alert. Click bit.ly/fake,1
"Invest in Bitcoin and earn $10,000 weekly.",1
Don't forget the lunch tonight.,0
Can you review the migration for me?,0
WINNER! Claim your iPhone 15 now at bit.ly/fake,1
Please find the PDF attached.,0
Get 90% off pills. Limited time!,1
Can you review the migration for me?,0
Make money fast with this trading.,1
Thanks for the update on the Data Science.,0
Can you review the migration for me?,0
Thanks for the update on the Data Science.,0
